title,company,location,URL
Senior UX Researcher,King.com,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=0c748cca1839d1c3&fccid=cadcae9e8089792b&vjs=3
Senior UX Researcher,King,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2f9f06e945b0531e&fccid=6d65cb9ba1f73d65&vjs=3
Product Manager,King,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=436640a5c225f817&fccid=6d65cb9ba1f73d65&vjs=3
Product / Business Performance Manager,King,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=c482f55c7744c61c&fccid=6d65cb9ba1f73d65&vjs=3
Product Manager,King.com,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=d84147f3ca1237a5&fccid=cadcae9e8089792b&vjs=3
Product / Business Performance Manager,King.com,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=f65e01c803a8b2cb&fccid=cadcae9e8089792b&vjs=3
DevOps Engineer,Adevinta,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2cb89aebd227147f&fccid=5aecff49966a6ffd&vjs=3
Principal/Senior Product Manager - Fulfilment (m/f/d),FREE NOW,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=4bd669324155f462&fccid=07b8d34e6d6b631d&vjs=3
Data scientist (Barcelona),Krashlando,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=6f0b04cb9f2a5187&fccid=5e88048acc92e2e1&vjs=3
Medior Data Engineer,Full Orbit,"Barcelona, Barcelona provincia",https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHmRSAiKfn_6SJNYdHvOnGfi3mA1Tv1I-CchdVbcGCwWRiqOgnHORgHiYo9MDfu9SDCeJqycBKweyX91Iu-sCcec-CaRG1A3RBAj98Vk63hqUdtgcjmZ_2HN8M6iChOxSkTLw7tv8toPCp2sm_dmpMK9PiGhUwm8mtI9oF7mUdFiViADPSSqvwhNcFo0n4eXnosUMuo8z_UvHq42iro8Rl7CX01fzR4i2EAw9szuNnUWyrJbEIy_72VdJjr7gofIrBwsD0xfMAMWVxuWe009Y_GmbxgdUlQwSb8SZ_ZpJh0ODCucx6EVRszHQs11dG_yFYdiNsq93J179lEeiDPTIj_aIvQxhRrNybJfbsxIPzKhnC_noLSNhWB20GMAWl6WJjmbevQhilGeqeM7a3jiuoba3TfewPF6FMZc6wgEZngPkSoXjvPSHynaQgqjtqNoN_CB0XSBFWXu0Bb-3FiniP&p=10&fvj=1&vjs=3
Demand Planning data scientist,Essity,"Barcelona, Barcelona provincia",https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADeQntpmtUMXxyoh-Qt_3imdmypB23asUa0gM9HHSZqE6xeF0-5k3xfNwS9P1-smviOovZwVIbKI8Lo9HhgGW7Nn1ZBUKV30hxRxOnTIlNbHh30Nzkm5cZmvGPq2W_rW8CO_dXReZPYUbY9qslwrv4QHZLUuWG2OvMRGeMBZIAcik-ufHoCM9O_Ezj7gcpOLwYui4QhRQOazQ-fGJXvZLMrQxkTaHwRK0idMOMioo0OZvAS1aVZai9KTxQUJKwyMEDNMinDVDacO-AUyD1hCJdPPBnndvshF6mLYyFPId-HQinrLPVGywDsbd9P9hJTqKOHlfFbxOzTiKR4VH94TY0lsgnYJBP7bgrXMLo9WAgeGRLDvToWtErgOLPwNxyk0493Vu1rjQVBn2H3QglR0YDQp92OLV6Yj45Y2n5vsMYV0SY80oRqCGUEwdBGTGAM0OFWlP55qsFK-9b3AfWTUWZSEN6MVWs6g1jHdWg-ZkSYKzhYxUE2wcb9VKFIQJG0pOn6sbKbvpi_pVPGaG1w1a2&p=11&fvj=0&vjs=3
Data Quality Analyst in Salzburg,Red Bull,España,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CIPDEU_x6AGOgRFDt8pM7SMuLWX57uHXvOgUF4Ty5eIA8izWm2ylNgEfZCecYI0Xup4uWhYt5MsHhpTSfgFMbJuoV2xxgh0nc0Rx-s0PQYd0JuS2kMJpJMKs0nEimy5Wg2qs6seYg6F7JYjiZ3d7uSXPWfGbqSu-S_-X2r7J3ZubFwND9aWy_e0FGdtqN_fv61A0zFI8BQH5cuzMwH9nLejHvljp05UgLpLVQWA8tJ_qxzZO2UnBglL317Ri_11lkFfcTZkT7OIGZAEMpFbeg-ZRPlNnhwYXZgboxEHAb-bS-A3py6yJ_cGO6Dzn4juoErOzy08tZNTw85b2wWYMqcKZix08cJzg8GSyjLO3tKJCY2koOwKGCa8fIe5i_wwC4PFdUHzaIgd17fkuOnDfmQ8-P7-NfQYWHkv0RBNkfpJ6__f8F4NNJUrbSWGv3KqVJ_yZsxC33ZmenjBz4Al6U0QH_btDWrZrcgKt-MMK68zwY4Ie6jqYbQ6B3Q0lhpNbo=&p=12&fvj=1&vjs=3
